match_id,season,date,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by,win_margin,player_of_match,umpire1,umpire2,tv_umpire,match_referee
1168837,2019,27/02/2019,Dubai,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Islamabad United,field,Islamabad United,wickets,5,Asif Ali,RK Illingworth,Ahsan Raza,Rashid Riaz,RS Mahanama
1168838,2019,28/02/2019,Dubai,Dubai International Cricket Stadium,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,7,KA Pollard,REJ Martinesz,Asif Yaqoob,Shozab Raza,Mohammed Anees
1168839,2019,28/02/2019,Dubai,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Karachi Kings,wickets,5,Iftikhar Ahmed,RK Illingworth,Rashid Riaz,Ahsan Raza,RS Mahanama
1168840,2019,01/03/2019,Dubai,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,4,LA Dawson,REJ Martinesz,Shozab Raza,Asif Yaqoob,Mohammed Anees
1168841,2019,01/03/2019,Dubai,Dubai International Cricket Stadium,Multan Sultans,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,6,DJ Bravo,RK Illingworth,Ahsan Raza,Rashid Riaz,RS Mahanama
1168842,2019,04/03/2019,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,8,SR Watson,REJ Martinesz,Asif Yaqoob,Ahsan Raza,Mohammed Anees
1168843,2019,04/03/2019,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Karachi Kings,Multan Sultans,Karachi Kings,field,Karachi Kings,wickets,5,Usman Shinwari,Shozab Raza,RK Illingworth,Rashid Riaz,Muhammad Javed
1168844,2019,05/03/2019,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,wickets,4,Misbah-ul-Haq,Asif Yaqoob,Ahsan Raza,REJ Martinesz,Mohammed Anees
1168845,2019,05/03/2019,Abu Dhabi,"Sheikh Zayed Stadium, Abu Dhabi",Islamabad United,Quetta Gladiators,Islamabad United,field,Quetta Gladiators,runs,43,Ahmed Shehzad,RK Illingworth,Rashid Riaz,Shozab Raza,Muhammad Javed
1168846,2019,11/03/2019,Karachi,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi,Karachi Kings,field,Peshawar Zalmi,runs,61,Kamran Akmal,REJ Martinesz,Ahsan Raza,Asif Yaqoob,Mohammed Anees
1168847,2019,09/03/2019,Karachi,"National Stadium, Karachi",Lahore Qalandars,Islamabad United,Lahore Qalandars,field,Islamabad United,runs,49,CS Delport,MA Gough,Shozab Raza,Rashid Riaz,Muhammad Javed
1168848,2019,10/03/2019,Karachi,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,runs,1,Usman Shinwari,REJ Martinesz,Asif Yaqoob,Ahsan Raza,Mohammed Anees
1168849,2019,11/03/2019,Karachi,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,7,Mohammad Abbas,MA Gough,Rashid Riaz,Shozab Raza,Muhammad Javed
1168850,2019,14/03/2019,Karachi,"National Stadium, Karachi",Islamabad United,Karachi Kings,Karachi Kings,bat,Islamabad United,wickets,4,AD Hales,Shozab Raza,MA Gough,Rashid Riaz,Mohammed Anees
1168851,2019,13/03/2019,Karachi,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,runs,10,SR Watson,REJ Martinesz,Ahsan Raza,Asif Yaqoob,RS Mahanama
1168852,2019,15/03/2019,Karachi,"National Stadium, Karachi",Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,runs,48,Kamran Akmal,REJ Martinesz,Ahsan Raza,Asif Yaqoob,RS Mahanama
1168853,2019,17/03/2019,Karachi,"National Stadium, Karachi",Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,field,Quetta Gladiators,wickets,8,Mohammad Hasnain,REJ Martinesz,Ahsan Raza,Shozab Raza,RS Mahanama
1211642,2020,20/02/2020,Karachi,"National Stadium, Karachi",Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,3,Mohammad Hasnain,RK Illingworth,Faisal Afridi,Imtiaz Iqbal,RS Mahanama
1211643,2020,21/02/2020,Karachi,"National Stadium, Karachi",Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,runs,10,Babar Azam,RK Illingworth,Faisal Afridi,Asif Yaqoob,RS Mahanama
1211644,2020,21/02/2020,Lahore,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,5,Imran Tahir,REJ Martinesz,Rashid Riaz,Shozab Raza,Mohammed Anees
1211645,2020,22/02/2020,Karachi,"National Stadium, Karachi",Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Peshawar Zalmi,wickets,6,Kamran Akmal,RK Illingworth,Faisal Afridi,Asif Yaqoob,RS Mahanama
1211646,2020,22/02/2020,Lahore,"Gaddafi Stadium, Lahore",Islamabad United,Multan Sultans,Islamabad United,field,Islamabad United,wickets,8,L Ronchi,REJ Martinesz,Shozab Raza,Rashid Riaz,Mohammed Anees
1211647,2020,23/02/2020,Karachi,"National Stadium, Karachi",Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Quetta Gladiators,wickets,5,Azam Khan,RK Illingworth,Faisal Afridi,Asif Yaqoob,RS Mahanama
1211648,2020,23/02/2020,Lahore,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United,Islamabad United,field,Islamabad United,wickets,1,Shadab Khan,REJ Martinesz,Rashid Riaz,Shozab Raza,Mohammed Anees
1211649,2020,26/02/2020,Multan,"Multan Cricket Stadium, Multan",Multan Sultans,Peshawar Zalmi,Multan Sultans,field,Multan Sultans,wickets,6,Sohail Tanvir,Asif Yaqoob,Faisal Afridi,Shozab Raza,Muhammad Javed
1211650,2020,27/02/2020,Rawalpindi,"Pindi Cricket Stadium, Rawalpindi",Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,wickets,5,BCJ Cutting,REJ Martinesz,Tariq Rasheed,Rashid Riaz,RS Mahanama
